serial,year,intyear,intmon,monthid,quarter,gor,ladsupgp,wtm2insr,c11indivwgt,victim,victype,agegrp,sexage,nsethgrp,onsdisab,genheal2,tenure1,tothhin4,stranger,acquain,seracq,othacq,hhldacq,persacq,domestic,dom_acq,violence,robbery,theftper
"100903","23","23","4","2304","232","7","1","1.09446443448831","1846.9163110129","0","0","3","6","1","2","2","3"," ","0","0","0","0","0","0","0","0","0","0","0"
"100904","23","23","4","2304","232","7","1",".900588672344853","1471.86920773454","0","0","2","2","1","2","2","2","6","0","0","0","0","0","0","0","0","0","0","0"
"100905","23","23","4","2304","232","7","1",".544055415580734","677.32725997718","0","0","3","3","4","2","2","1","4","0","0","0","0","0","0","0","0","0","0","0"
"100906","23","23","4","2304","232","7","1",".541242745064754","708.710058670184","0","0","3","3","1","2","2","1","2","0","0","0","0","0","0","0","0","0","0","0"
"100907","23","23","4","2304","232","7","1","1.07521740692118","1828.47027346728","0","0","2","5","1","2","3","2"," ","0","0","0","0","0","0","0","0","0","0","0"
"100909","23","23","4","2304","232","7","1","1.08811083116147","1710.3763997191","0","0","2","5","4","2","2","4","2","0","0","0","0","0","0","0","0","0","0","0"
"100910","23","23","5","2305","232","7","1","1.08543279413327","2379.04713175417","0","0","2","2","3","2","2","2"," ","0","0","0","0","0","0","0","0","0","0","0"
"100911","23","23","4","2304","232","7","1","1.66030000973447","2624.90765877261","0","0","2","5","5","2","2","4","3","0","0","0","0","0","0","0","0","0","0","0"
"100912","23","23","5","2305","232","7","1","2.17086558826654","5444.27800810413","0","0","1","4","3","2","2","2"," ","0","0","0","0","0","0","0","0","0","0","0"
"100913","23","23","5","2305","232","7","1","1.08543279413327","2012.10498154637","0","0","2","2","3","2","2","2","6","0","0","0","0","0","0","0","0","0","0","0"
"100914","23","23","4","2304","232","7","1",".547232217244157","1199.42132196012","0","0","2","2","1","2","2","4"," ","0","0","0","0","0","0","0","0","0","0","0"
"100917","23","23","5","2305","232","7","1",".553433336578157","874.969219590868","0","0","2","5","3","2","2","2","1","0","0","0","0","0","0","0","0","0","0","0"
"100918","23","23","4","2304","232","7","1","1.07521740692118","1814.43681873148","0","0","3","6","4","2","2","5","4","0","0","0","0","0","0","0","0","0","0","0"
"100920","23","23","4","2304","232","7","1","1.08543279413327","1716.0518205737","0","0","2","5","3","2","2","2"," ","0","0","0","0","0","0","0","0","0","0","0"
"100921","23","23","4","2304","232","7","1","2.15043481384237","6016.1531490787","0","0","1","4","3","2","2","4"," ","0","0","0","0","0","0","0","0","0","0","0"
"100925","23","23","4","2304","232","7","1",".547232217244157","804.628997659984","0","0","3","6","1","2","2","1","2","0","0","0","0","0","0","0","0","0","0","0"
"100926","23","23","4","2304","232","7","1","1.07521740692118","1345.74919420337","0","0","3","3","1","2","2","1","2","0","0","0","0","0","0","0","0","0","0","0"
"100928","23","23","4","2304","232","7","1","2.16497098025902","3443.46114166341","0","0","2","5","3","2","3","4","3","0","0","0","0","0","0","0","0","0","0","0"
"100929","23","23","4","2304","232","7","1",".544055415580734","1028.0878748725","0","0","3","6","1","1","2","1"," ","0","0","0","0","0","0","0","0","0","0","0"
"101002","23","23","6","2306","232","7","2","2.03709757733469","5325.52828940694","1","3","1","1","3","2","2","5","6","0","0","1","6","7","1","0","0","0","0","1"
"101004","23","23","6","2306","232","7","2","4.43887283512492","12671.393352502","1","1","1","1","3","2","1","5"," ","0","0","1","0","1","0","0","0","0","0","0"
"101005","23","23","7","2307","233","7","2",".616443991658576","758.770904117348","0","0","3","6","1","1","3","1"," ","0","0","0","0","0","0","0","0","0","0","0"
"101006","23","23","6","2306","232","7","2",".582736816546555","952.390811506555","1","1","2","2","3","1","3","2","3","0","0","1","0","1","0","0","0","0","0","0"
"101008","23","23","6","2306","232","7","2","2.63592842374722","5777.41707263652","1","1","2","2","3","2","2","4"," ","0","0","1","0","1","0","0","0","0","0","0"
"101009","23","23","6","2306","232","7","2","2.15978830637126","4003.67561568409","0","2","2","2","3","2","3","2","6","0","0","0","0","0","0","0","0","0","0","0"
"101011","23","23","6","2306","232","7","2",".962770328312135","1705.47603290168","0","0","2","2","3","2","1","2","6","0","0","0","0","0","0","0","0","0","0","0"
"101013","23","23","6","2306","232","7","2",".545558761558271","679.198865667707","0","0","3","3","1","1","4","1","3","0","0","0","0","0","0","0","0","0","0","0"
"101014","23","23","7","2307","233","7","2","1.84933197497573","2530.78150342943","0","0","2","5","1","1","2","4","5","0","0","0","0","0","0","0","0","0","0","0"
"101015","23","23","7","2307","233","7","2","1.84933197497573","5175.9041425635","0","0","1","1","3","2","1","4","3","0","0","0","0","0","0","0","0","0","0","0"
"101017","23","23","6","2306","232","7","2","1.92554065662427","2410.01937875796","0","0","3","3","1","1","2","1"," ","0","0","0","0","0","0","0","0","0","0","0"
"101018","23","23","6","2306","232","7","2","1.46962246500312","3059.38853920332","0","0","1","4","3","1","1","5"," ","0","0","0","0","0","0","0","0","0","0","0"
"101019","23","23","6","2306","232","7","2",".997967849551924","2848.84105594502","1","1","1","1","1","2","2","5"," ","0","0","0","0","0","0","3","3","3","0","0"
"101022","23","23","6","2306","232","7","2","1.15433182637901","2225.05756232936","0","0","2","2","5","2","1","2","5","0","0","0","0","0","0","0","0","0","0","0"
"101024","23","23","6","2306","232","7","2","2.15978830637126","3529.83109935866","0","0","2","2","3","2","2","2","6","0","0","0","0","0","0","0","0","0","0","0"
"101025","23","23","6","2306","232","7","2","2.4493707750052","5098.9808986722","1","1","1","4","3","2","2","5"," ","0","0","1","0","1","0","0","0","0","0","0"
"101027","23","23","6","2306","232","7","2","1.52782318300102","2598.15294585935","1","1","2","5","4","1","1","5"," ","0","0","0","2","0","2","0","0","0","0","0"
"101030","23","23","6","2306","232","7","2","1.21642033716904","1988.04592254031","1","1","2","2","1","2","2","2","6","0","0","0","1","1","0","0","0","0","0","0"
"101031","23","23","6","2306","232","7","2",".518255198049668","881.323365492331","0","0","2","5","1","1","2","4","3","0","0","0","0","0","0","0","0","0","0","0"
"101102","23","23","4","2304","232","7","4",".891845654855603","1954.74363647349","0","2","2","2","1","2","1","2","6","0","0","0","0","0","0","0","0","0","0","0"
"101103","23","23","7","2307","233","7","4",".543165003329029","1181.61733635378","0","0","1","4","4","2","2","8"," ","0","0","0","0","0","0","0","0","0","0","0"
"101104","23","23","4","2304","232"," ","4","3.86637741774822","5619.13398508047","1","3","2","5","3","2","3","1"," ","0","0","1","0","1","0","0","0","0","0","0"
"101105","23","23","4","2304","232","7","4","2.33420805261372","3392.38164812403","0","2","2","5","1","2","2","1","6","0","0","0","0","0","0","0","0","0","0","0"
"101107","23","23","7","2307","233","7","4",".543165003329029","696.098419363284","0","0","3","6","1","2","2","2","5","0","0","0","0","0","0","0","0","0","0","0"
"101109","23","23","4","2304","232","7","4",".596907067937117","1007.28480998778","0","0","3","6","4","2","2","4"," ","0","0","0","0","0","0","0","0","0","0","0"
"101112","23","23","4","2304","232","7","4","3.50316314383894","5957.33442407449","0","0","2","5","1","1","4","4","6","0","0","0","0","0","0","0","0","0","0","0"
"101113","23","23","6","2306","232","7","4",".891845654855603","1409.99366147564","0","0","2","5","2","2","1","2","6","0","0","0","0","0","0","0","0","0","0","0"
"101116","23","23","7","2307","233","7","4",".729377653099284","1586.70988441624","0","0","1","4","1","2","2","4"," ","0","0","0","0","0","0","0","0","0","0","0"
"101118","23","23","6","2306","232","7","4","1.99269780687741","5209.45518802766","0","0","1","1","1","1","3","4"," ","0","0","0","0","0","0","0","0","0","0","0"
"101121","23","23","5","2305","232","7","4","3.5149484141619","6515.78361390961","0","0","2","2","2","2","1","4","2","0","0","0","0","0","0","0","0","0","0","0"
"101122","23","23","4","2304","232","7","4","1.95930066038493","4078.77677973738","0","2","1","4","1","2","1","2","6","0","0","0","0","0","0","0","0","0","0","0"
"101124","23","23","4","2304","232","7","4","1.12843767557087","1918.97446224389","1","3","2","5","4","2","1","4","6","1","0","0","0","0","0","0","0","0","0","0"
"101125","23","23","5","2305","232","7","4",".891845654855603","1685.29836806433","0","2","3","6","1","2","3","4","2","0","0","0","0","0","0","0","0","0","0","0"
"101126","23","23","5","2305","232","7","4",".62859692609548","1165.25225073139","1","3","2","2","1","2","1","4","6","0","2","0","0","0","0","0","2","0","0","0"
"101129","23","23","5","2305","232","7","4",".878737103540475","1494.3439918977","0","0","2","5","1","2","1","1","6","0","0","0","0","0","0","0","0","0","0","0"
"101202","23","23","4","2304","232","7","4",".524344647500412","809.439125802844","0","2","2","5","4","2","1","4","4","0","0","0","0","0","0","0","0","0","0","0"
"101203","23","23","5","2305","232","7","4",".524344647500412","1010.71199504868","0","0","2","2","4","2","1","4","4","0","0","0","0","0","0","0","0","0","0","0"
"101204","23","23","4","2304","232","7","4","2.99712813091767","8384.90045219964","0","0","1","4","5","2","2","5"," ","0","0","0","0","0","0","0","0","0","0","0"
"101206","23","23","4","2304","232","7","4",".524344647500412","833.988277427557","1","1","2","5","1","2","1","4","1","0","0","0","0","0","0","0","0","0","0","0"
"101207","23","23","4","2304","232","7","4","1.47126276529581","1926.48997186521","0","0","3","3","-1","1","3","4"," ","0","0","0","0","0","0","0","0","0","0","0"
"101208","23","23","4","2304","232","7","4","1.04868929500082","1657.96093837326","0","0","2","5","4","2","2","2"," ","0","0","0","0","0","0","0","0","0","0","0"
"101210","23","23","4","2304","232","7","4",".594121817598554","1052.4426135096","1","1","2","2","1","2","2","4","5","0","0","0","0","0","0","0","0","0","0","0"
"101211","23","23","4","2304","232","7","4","1.04868929500082","1657.96093837326","0","0","2","5","4","2","2","4","2","0","0","0","0","0","0","0","0","0","0","0"
"101212","23","23","4","2304","232","7","4",".599425626183535","1019.35844004751","0","0","2","5","4","2","1","4","4","0","0","0","0","0","0","0","0","0","0","0"
"101215","23","23","4","2304","232","7","4","1.66705107499345","2724.53032150071","0","0","2","2","4","2","2","4","5","0","0","0","0","0","0","0","0","0","0","0"
"101217","23","23","4","2304","232","7","4","2.44518308435102","3934.07056781303","0","0","3","3","4","2","1","1","6","0","0","0","0","0","0","0","0","0","0","0"
"101219","23","23","4","2304","232","7","4",".599425626183535","925.342820137097","0","2","2","5","4","2","1","2","4","0","0","0","0","0","0","0","0","0","0","0"
"101220","23","23","4","2304","232","7","4",".594121817598554","939.297054818276","0","0","2","5","5","2","1","4","4","0","0","0","0","0","0","0","0","0","0","0"
"101221","23","23","4","2304","232","7","4","1.04868929500082","2298.51288155082","0","0","2","2","1","1","4","4","4","0","0","0","0","0","0","0","0","0","0","0"
"101222","23","23","5","2305","232","7","4",".599425626183535","1247.8551019202","0","0","1","4","4","2","1","8"," ","0","0","0","0","0","0","0","0","0","0","0"
